nr,name
629,SPRINGER VERLAG PARIS
630,SPRINGER VIEWEG VERLAG
631,SPRINGER VS/SPRINGER FACHMEDIEN
632,SPRINGER-VERLAG BERLIN
633,SPRINGER-VERLAG FRANCE
634,SPRINGER-VERLAG ITALIA
635,SPRINGER-VERLAG LONDON LTD
636,SPRINGER-VERLAG SINGAPORE PTE LTD
637,SPRINGER-VERLAG TOKYO
638,SPRINGER-VERLAG WIEN
639,ST JOSEPH UNIV PRESS
640,ST PETERSBURG UNIV PR
641,STANFORD UNIV PRESS
642,STEINKOPFF DARMSTADT
643,STRATPOL - STRATEGIC POLICY INSTITUTE
644,STRATPOL-STRATEGIC POLICY INSTITUTE
645,STUDIUM PRESS LLC
646,SUNA & INAN KIRAC RES INST MEDITERRANEAN CIVILIZATIONS
647,SUNY-STATE UNIV NEW YORK PRESS
648,SUOMALAINEN TIEDEAKATEMIA-ACADEMIA SCIENTIARUM FENNICA
649,SUOMALAISEN KIRJALLISUUDEN SEURA
650,SUOMEN HISTORIALLINEN SEURA
651,SURREY BEATTY & SONS
652,SWISS FEDERAL RESEARCH INST WSL
653,SYDNEY UNIV PRESS
654,SYMPOSIUM BOOKS
655,SYNGRESS
656,T & T CLARK INT
657,T & T CLARK LTD
658,T&T; CLARK
659,TALLINN UNIV PRESS
660,TAYLOR & FRANCIS LTD
661,TECHNE PRESS
662,TECHNICAL RESEARCH CENTRE FINLAND
663,TECNOLOGICO ANTIOQUIA
664,Tectum Verlag
